"crime","date","neighborhood"
"ROBBERY-COMMERCIAL","08/14/2014","Old Fourth Ward"
"AGG ASSAULT","03/19/2010","Oakland City"
"LARCENY-FROM VEHICLE","08/13/2013","Home Park"
"LARCENY-FROM VEHICLE","01/28/2015","Midtown"
"AGG ASSAULT","01/08/2009",""
"BURGLARY-RESIDENCE","02/17/2010","Lakewood"
"LARCENY-FROM VEHICLE","11/10/2009","Virginia Highland"
"LARCENY-FROM VEHICLE","04/09/2011","Downtown"
"AUTO THEFT","07/27/2009","South River Gardens"
"LARCENY-FROM VEHICLE","06/27/2016","Center Hill"
"AUTO THEFT","04/15/2011","Capitol View"
"LARCENY-FROM VEHICLE","05/29/2010","Virginia Highland"
"BURGLARY-RESIDENCE","03/27/2013",""
"LARCENY-FROM VEHICLE","06/05/2016","Home Park"
"AUTO THEFT","09/30/2014","Perkerson"
"ROBBERY-PEDESTRIAN","04/30/2014","Browns Mill Park"
"LARCENY-FROM VEHICLE","01/14/2017","Downtown"
"LARCENY-NON VEHICLE","01/01/2011","Buckhead Forest"
"BURGLARY-RESIDENCE","10/26/2009","Summerhill"
"LARCENY-FROM VEHICLE","11/12/2010","Downtown"
"HOMICIDE","01/24/2017","Greenbriar"
"LARCENY-FROM VEHICLE","08/26/2009","Chattahoochee"
"AGG ASSAULT","11/11/2014","Old Fourth Ward"
"BURGLARY-RESIDENCE","02/18/2017","Green Acres Valley"
"AUTO THEFT","04/26/2010","Scotts Crossing"
"LARCENY-NON VEHICLE","08/24/2011",""
"LARCENY-FROM VEHICLE","10/07/2009","Poncey-Highland"
"BURGLARY-NONRES","07/26/2009","Piedmont Heights"
"LARCENY-NON VEHICLE","01/21/2015","Chastain Park"
"AGG ASSAULT","08/10/2011","Summerhill"
"BURGLARY-NONRES","07/21/2010","Edgewood"
"LARCENY-NON VEHICLE","11/18/2011","North Buckhead"
"LARCENY-FROM VEHICLE","06/28/2015","Oakland City"
"LARCENY-NON VEHICLE","12/11/2013","Castleberry Hill"
"AUTO THEFT","07/18/2016","Grant Park"
"AUTO THEFT","10/08/2010","Heritage Valley"
"LARCENY-NON VEHICLE","05/18/2010","Grant Park"
"LARCENY-FROM VEHICLE","07/19/2015","Ashview Heights"
"BURGLARY-RESIDENCE","04/17/2013","Southwest"
"BURGLARY-RESIDENCE","09/20/2013","Benteen Park"
"LARCENY-NON VEHICLE","09/25/2013","Capitol View Manor"
"AGG ASSAULT","04/17/2016","Ashview Heights"
"AUTO THEFT","12/30/2013","Reynoldstown"
"AGG ASSAULT","04/09/2015","Grove Park"
"LARCENY-NON VEHICLE","10/22/2016","West End"
"AGG ASSAULT","12/07/2011","Greenbriar"
"LARCENY-NON VEHICLE","12/01/2010","Lindbergh/Morosgo"
"LARCENY-FROM VEHICLE","11/09/2009","Downtown"
"LARCENY-FROM VEHICLE","06/09/2010","Inman Park"
"LARCENY-NON VEHICLE","06/23/2013","Knight Park/Howell Station"
"BURGLARY-RESIDENCE","06/17/2009","Harland Terrace"
"BURGLARY-RESIDENCE","03/20/2013","Old Fourth Ward"
"LARCENY-FROM VEHICLE","09/07/2012","Downtown"
"BURGLARY-RESIDENCE","05/31/2013","English Avenue"
"AUTO THEFT","05/31/2009","Reynoldstown"
"LARCENY-NON VEHICLE","08/08/2009","Perkerson"
"BURGLARY-RESIDENCE","05/11/2009","Wildwood (NPU-H)"
"BURGLARY-RESIDENCE","07/01/2010","Washington Park"
"LARCENY-NON VEHICLE","06/17/2010","Piedmont Heights"
"ROBBERY-PEDESTRIAN","01/04/2009","Summerhill"
"LARCENY-FROM VEHICLE","08/28/2014","Downtown"
"LARCENY-FROM VEHICLE","03/22/2014","Sylvan Hills"
"BURGLARY-RESIDENCE","11/16/2011",""
"AGG ASSAULT","03/11/2013","Grove Park"
"ROBBERY-PEDESTRIAN","06/22/2010",""
"LARCENY-FROM VEHICLE","06/24/2009","Brandon"
"LARCENY-FROM VEHICLE","05/10/2011","Marietta Street Artery"
"LARCENY-FROM VEHICLE","02/27/2015","Inman Park"
"LARCENY-FROM VEHICLE","05/23/2010","Vine City"
"LARCENY-FROM VEHICLE","06/18/2013","Garden Hills"
"AUTO THEFT","04/10/2010","Midtown"
"LARCENY-NON VEHICLE","05/24/2009","Westview"
"LARCENY-NON VEHICLE","06/17/2015","English Avenue"
"LARCENY-FROM VEHICLE","10/27/2009","Vine City"
"LARCENY-FROM VEHICLE","01/29/2012","Sweet Auburn"
"BURGLARY-RESIDENCE","11/21/2009","Custer/McDonough/Guice"
"LARCENY-FROM VEHICLE","02/23/2010","Florida Heights"
"ROBBERY-PEDESTRIAN","10/12/2014","Campbellton Road"
"BURGLARY-RESIDENCE","09/02/2014","West Lake"
"ROBBERY-PEDESTRIAN","07/25/2011","Summerhill"
"LARCENY-NON VEHICLE","02/12/2012","Kings Forest"
"LARCENY-NON VEHICLE","03/28/2009","Garden Hills"
"BURGLARY-RESIDENCE","12/15/2013","Peachtree Heights West"
"LARCENY-FROM VEHICLE","07/08/2009","Midtown"
"AUTO THEFT","05/03/2010","Fairburn Mays"
"LARCENY-FROM VEHICLE","05/20/2010","Mechanicsville"
"LARCENY-FROM VEHICLE","01/26/2011","Reynoldstown"
"LARCENY-FROM VEHICLE","07/25/2009","Virginia Highland"
"AGG ASSAULT","10/18/2009","Hammond Park"
"LARCENY-NON VEHICLE","11/08/2012","Hammond Park"
"AUTO THEFT","07/29/2010","Midtown"
"ROBBERY-PEDESTRIAN","07/05/2013","Center Hill"
"LARCENY-FROM VEHICLE","04/18/2009","Downtown"
"ROBBERY-PEDESTRIAN","06/09/2016","Lenox"
"LARCENY-FROM VEHICLE","09/30/2012","Midtown"
"BURGLARY-RESIDENCE","03/04/2014","Venetian Hills"
"LARCENY-FROM VEHICLE","10/19/2014","Buckhead Forest"
"LARCENY-FROM VEHICLE","09/19/2009","Pine Hills"
"BURGLARY-RESIDENCE","06/07/2013","Wilson Mill Meadows"
"LARCENY-NON VEHICLE","08/20/2012","Fort Valley"
"BURGLARY-RESIDENCE","06/14/2014","Browns Mill Park"
"LARCENY-NON VEHICLE","05/23/2016","Lindbergh/Morosgo"
"ROBBERY-PEDESTRIAN","09/23/2016","West End"
"LARCENY-NON VEHICLE","10/24/2009","Westhaven"
"AUTO THEFT","08/09/2010","Perkerson"
"LARCENY-NON VEHICLE","09/06/2013","Greenbriar"
"LARCENY-FROM VEHICLE","04/28/2009","Midtown"
"ROBBERY-PEDESTRIAN","05/07/2014","Peoplestown"
"AUTO THEFT","06/13/2011","Marietta Street Artery"
"LARCENY-NON VEHICLE","12/03/2010","Buckhead Village"
"AGG ASSAULT","10/27/2012","East Atlanta"
"LARCENY-NON VEHICLE","01/30/2009","West End"
"ROBBERY-PEDESTRIAN","06/13/2009","Bolton"
"LARCENY-NON VEHICLE","01/28/2012","Joyland"
"BURGLARY-RESIDENCE","01/01/2011",""
